"Number";"Date";"Relative Pressure (hPa)";"Indoor Temp (°C)";"Indoor Hum (%)";"Outdoor Temp (°C)";"Outdoor Hum (%)";"Dewpoint (°C)";"Wind Chill (°C)";"Winds. (m/s)";"Wind Direction";"Gust (m/s)";"Relative Rain (mm)";"Total Rain (mm)"
"7514";"11.01.2017 22:50";"995.8";"16.8";"44";"-8.5";"73";"-12.5";"---";"---";"---";"---";"0.0";"0.0"
"7515";"11.01.2017 23:00";"995.4";"16.8";"44";"-8.6";"73";"-12.6";"---";"---";"---";"---";"0.0";"0.0"
"7516";"11.01.2017 23:10";"995.1";"16.7";"43";"-8.8";"73";"-12.8";"---";"---";"---";"---";"0.0";"0.0"
"7517";"11.01.2017 23:20";"995.0";"16.3";"43";"-8.8";"73";"-12.8";"---";"---";"---";"---";"0.0";"0.0"
"7518";"11.01.2017 23:30";"994.9";"15.9";"43";"-8.7";"73";"-12.7";"---";"---";"---";"---";"0.0";"0.0"
"7519";"11.01.2017 23:40";"995.0";"15.5";"43";"-8.6";"73";"-12.6";"---";"---";"---";"---";"0.0";"0.0"
"7520";"11.01.2017 23:50";"994.9";"15.3";"43";"-8.4";"73";"-12.4";"---";"---";"---";"---";"0.0";"0.0"
"7521";"12.01.2017 00:00";"995.2";"15.1";"44";"-8.4";"73";"-12.4";"---";"---";"---";"---";"0.0";"0.0"
"7522";"12.01.2017 00:10";"994.9";"15.1";"44";"-8.4";"73";"-12.4";"---";"---";"---";"---";"0.0";"0.0"
"7523";"12.01.2017 00:20";"994.8";"14.9";"44";"-8.3";"73";"-12.3";"---";"---";"---";"---";"0.0";"0.0"
"7524";"12.01.2017 00:30";"995.0";"14.9";"44";"-8.2";"73";"-12.2";"---";"---";"---";"---";"0.0";"0.0"
"7525";"12.01.2017 00:40";"994.8";"14.8";"44";"-8.1";"73";"-12.1";"---";"---";"---";"---";"0.0";"0.0"
"7526";"12.01.2017 00:50";"994.6";"14.6";"43";"-8.0";"73";"-12.0";"---";"---";"---";"---";"0.0";"0.0"
"7527";"12.01.2017 01:00";"994.4";"14.4";"44";"-8.0";"73";"-12.0";"---";"---";"---";"---";"0.0";"0.0"
"7528";"12.01.2017 01:10";"994.3";"14.4";"43";"-8.0";"73";"-12.0";"---";"---";"---";"---";"0.0";"0.0"
"7529";"12.01.2017 01:20";"994.2";"14.3";"44";"-8.0";"73";"-12.0";"---";"---";"---";"---";"0.0";"0.0"
"7530";"12.01.2017 01:30";"994.2";"14.2";"44";"-8.0";"73";"-12.0";"---";"---";"---";"---";"0.0";"0.0"
"7531";"12.01.2017 01:40";"994.2";"14.1";"44";"-8.0";"73";"-12.0";"---";"---";"---";"---";"0.0";"0.0"
"7532";"12.01.2017 01:50";"994.1";"14.0";"44";"-8.0";"73";"-12.0";"---";"---";"---";"---";"0.0";"0.0"
"7533";"12.01.2017 02:00";"994.0";"13.9";"44";"-8.0";"73";"-12.0";"---";"---";"---";"---";"0.0";"0.0"
"7534";"12.01.2017 02:10";"994.0";"13.9";"44";"-7.9";"73";"-11.9";"---";"---";"---";"---";"0.0";"0.0"
"7535";"12.01.2017 02:20";"993.8";"13.8";"44";"-7.7";"73";"-11.7";"---";"---";"---";"---";"0.0";"0.0"
"7536";"12.01.2017 02:30";"993.4";"13.7";"44";"-7.6";"73";"-11.6";"---";"---";"---";"---";"0.0";"0.0"
"7537";"12.01.2017 02:40";"993.1";"13.6";"44";"-7.6";"73";"-11.6";"---";"---";"---";"---";"0.0";"0.0"
"7538";"12.01.2017 02:50";"992.9";"13.6";"44";"-7.5";"74";"-11.3";"---";"---";"---";"---";"0.0";"0.0"
"7539";"12.01.2017 03:00";"992.8";"13.5";"44";"-7.6";"73";"-11.6";"---";"---";"---";"---";"0.0";"0.0"
"7540";"12.01.2017 03:10";"993.0";"13.4";"44";"-7.7";"74";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7541";"12.01.2017 03:20";"993.1";"13.4";"44";"-7.9";"74";"-11.7";"---";"---";"---";"---";"0.0";"0.0"
"7542";"12.01.2017 03:30";"992.9";"13.3";"44";"-8.0";"74";"-11.8";"---";"---";"---";"---";"0.0";"0.0"
"7543";"12.01.2017 03:40";"992.7";"13.3";"44";"-8.0";"74";"-11.8";"---";"---";"---";"---";"0.0";"0.0"
"7544";"12.01.2017 03:50";"992.9";"13.2";"44";"-8.0";"75";"-11.7";"---";"---";"---";"---";"0.0";"0.0"
"7545";"12.01.2017 04:00";"992.8";"13.2";"45";"-8.0";"75";"-11.7";"---";"---";"---";"---";"0.0";"0.0"
"7546";"12.01.2017 04:10";"992.9";"13.2";"44";"-8.0";"75";"-11.7";"---";"---";"---";"---";"0.0";"0.0"
"7547";"12.01.2017 04:20";"993.0";"13.2";"45";"-8.0";"75";"-11.7";"---";"---";"---";"---";"0.0";"0.0"
"7548";"12.01.2017 04:30";"992.8";"13.2";"45";"-8.0";"75";"-11.7";"---";"---";"---";"---";"0.0";"0.0"
"7549";"12.01.2017 04:40";"992.8";"13.1";"45";"-8.0";"75";"-11.7";"---";"---";"---";"---";"0.0";"0.0"
"7550";"12.01.2017 04:50";"992.9";"13.1";"45";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7551";"12.01.2017 05:00";"993.1";"13.0";"45";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7552";"12.01.2017 05:10";"993.1";"13.0";"45";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7553";"12.01.2017 05:20";"993.1";"13.0";"45";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7554";"12.01.2017 05:30";"993.2";"13.0";"45";"-7.9";"76";"-11.4";"---";"---";"---";"---";"0.0";"0.0"
"7555";"12.01.2017 05:40";"993.2";"12.9";"45";"-7.9";"76";"-11.4";"---";"---";"---";"---";"0.0";"0.0"
"7556";"12.01.2017 05:50";"993.2";"13.2";"44";"-7.9";"76";"-11.4";"---";"---";"---";"---";"0.0";"0.0"
"7557";"12.01.2017 06:00";"993.3";"13.8";"44";"-7.9";"76";"-11.4";"---";"---";"---";"---";"0.0";"0.0"
"7558";"12.01.2017 06:10";"993.3";"14.4";"43";"-7.9";"76";"-11.4";"---";"---";"---";"---";"0.0";"0.0"
"7559";"12.01.2017 06:20";"993.1";"14.6";"42";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7560";"12.01.2017 06:30";"993.3";"14.9";"41";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7561";"12.01.2017 06:40";"993.2";"15.0";"42";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7562";"12.01.2017 06:50";"993.5";"15.1";"42";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7563";"12.01.2017 07:00";"993.7";"15.2";"41";"-8.1";"76";"-11.6";"---";"---";"---";"---";"0.0";"0.0"
"7564";"12.01.2017 07:10";"993.8";"15.2";"41";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7565";"12.01.2017 07:20";"994.0";"14.9";"41";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7566";"12.01.2017 07:30";"994.0";"14.5";"41";"-8.0";"76";"-11.5";"---";"---";"---";"---";"0.0";"0.0"
"7567";"12.01.2017 07:40";"994.1";"14.1";"42";"-7.8";"76";"-11.3";"---";"---";"---";"---";"0.0";"0.0"
"7568";"12.01.2017 07:50";"994.0";"13.9";"43";"-7.7";"76";"-11.2";"---";"---";"---";"---";"0.0";"0.0"
"7569";"12.01.2017 08:00";"994.2";"13.7";"42";"-7.6";"76";"-11.1";"---";"---";"---";"---";"0.0";"0.0"
"7570";"12.01.2017 08:10";"994.4";"13.6";"44";"-7.6";"77";"-10.9";"---";"---";"---";"---";"0.0";"0.0"
"7571";"12.01.2017 08:20";"994.5";"13.6";"43";"-7.6";"76";"-11.1";"---";"---";"---";"---";"0.0";"0.0"
"7572";"12.01.2017 08:30";"994.4";"14.1";"42";"-7.4";"76";"-10.9";"---";"---";"---";"---";"0.0";"0.0"
"7573";"12.01.2017 08:40";"994.4";"14.7";"41";"-7.5";"76";"-11.0";"---";"---";"---";"---";"0.0";"0.0"
"7574";"12.01.2017 08:50";"994.6";"15.0";"41";"-7.4";"77";"-10.7";"---";"---";"---";"---";"0.0";"0.0"
"7575";"12.01.2017 09:00";"994.6";"15.2";"40";"-7.1";"76";"-10.6";"---";"---";"---";"---";"0.0";"0.0"
"7576";"12.01.2017 09:10";"994.9";"15.3";"40";"-6.9";"76";"-10.4";"---";"---";"---";"---";"0.0";"0.0"
"7577";"12.01.2017 09:20";"994.9";"15.5";"40";"-6.8";"76";"-10.3";"---";"---";"---";"---";"0.0";"0.0"
"7578";"12.01.2017 09:30";"995.0";"15.6";"40";"-6.6";"76";"-10.1";"---";"---";"---";"---";"0.0";"0.0"
"7579";"12.01.2017 09:40";"995.2";"15.7";"40";"-6.4";"76";"-9.9";"---";"---";"---";"---";"0.0";"0.0"
"7580";"12.01.2017 09:50";"995.4";"15.8";"39";"-6.2";"76";"-9.7";"---";"---";"---";"---";"0.0";"0.0"
"7581";"12.01.2017 10:00";"995.7";"16.0";"39";"-6.0";"76";"-9.6";"---";"---";"---";"---";"0.0";"0.0"
"7582";"12.01.2017 10:10";"995.8";"16.1";"39";"-5.7";"77";"-9.1";"---";"---";"---";"---";"0.0";"0.0"
"7583";"12.01.2017 10:20";"996.1";"16.3";"39";"-5.2";"77";"-8.6";"---";"---";"---";"---";"0.0";"0.0"
"7584";"12.01.2017 10:30";"996.2";"16.3";"39";"-5.2";"77";"-8.6";"---";"---";"---";"---";"0.0";"0.0"
"7585";"12.01.2017 10:40";"996.2";"16.2";"39";"-5.0";"76";"-8.6";"---";"---";"---";"---";"0.0";"0.0"
"7586";"12.01.2017 10:50";"996.2";"15.9";"39";"-4.8";"76";"-8.4";"---";"---";"---";"---";"0.0";"0.0"
"7587";"12.01.2017 11:00";"996.3";"15.5";"40";"-4.8";"77";"-8.2";"---";"---";"---";"---";"0.0";"0.0"
"7588";"12.01.2017 11:10";"996.2";"15.7";"40";"-4.4";"77";"-7.8";"---";"---";"---";"---";"0.0";"0.0"
"7589";"12.01.2017 11:20";"996.3";"16.9";"39";"-3.8";"76";"-7.4";"---";"---";"---";"---";"0.0";"0.0"
"7590";"12.01.2017 11:30";"996.1";"17.2";"38";"-3.4";"76";"-7.0";"---";"---";"---";"---";"0.0";"0.0"
"7591";"12.01.2017 11:40";"996.1";"17.0";"37";"-3.2";"75";"-7.0";"---";"---";"---";"---";"0.0";"0.0"
"7592";"12.01.2017 11:50";"996.3";"16.7";"37";"-3.0";"75";"-6.8";"---";"---";"---";"---";"0.0";"0.0"
"7593";"12.01.2017 12:00";"996.2";"16.5";"38";"-3.1";"75";"-6.9";"---";"---";"---";"---";"0.0";"0.0"
"7594";"12.01.2017 12:10";"996.2";"16.5";"38";"-2.9";"75";"-6.7";"---";"---";"---";"---";"0.0";"0.0"
"7595";"12.01.2017 12:20";"996.2";"16.5";"38";"-2.8";"75";"-6.6";"---";"---";"---";"---";"0.0";"0.0"
"7596";"12.01.2017 12:30";"996.2";"16.5";"38";"-2.7";"75";"-6.5";"---";"---";"---";"---";"0.0";"0.0"
"7597";"12.01.2017 12:40";"996.3";"16.7";"38";"-2.4";"75";"-6.2";"---";"---";"---";"---";"0.0";"0.0"
"7598";"12.01.2017 12:50";"996.4";"17.6";"37";"-2.1";"76";"-5.8";"---";"---";"---";"---";"0.0";"0.0"
"7599";"12.01.2017 13:00";"996.2";"18.5";"37";"-1.7";"76";"-5.4";"---";"---";"---";"---";"0.0";"0.0"
"7600";"12.01.2017 13:10";"996.1";"18.7";"36";"-1.4";"75";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7601";"12.01.2017 13:20";"996.3";"18.5";"36";"-1.3";"75";"-5.2";"---";"---";"---";"---";"0.0";"0.0"
"7602";"12.01.2017 13:30";"996.1";"18.4";"36";"-0.8";"75";"-4.7";"---";"---";"---";"---";"0.0";"0.0"
"7603";"12.01.2017 13:40";"996.2";"18.1";"36";"-0.4";"75";"-4.3";"---";"---";"---";"---";"0.0";"0.0"
"7604";"12.01.2017 13:50";"996.3";"18.0";"36";"-0.4";"74";"-4.5";"---";"---";"---";"---";"0.0";"0.0"
"7605";"12.01.2017 14:00";"996.4";"17.8";"37";"0.3";"74";"-3.8";"---";"---";"---";"---";"0.0";"0.0"
"7606";"12.01.2017 14:10";"996.2";"17.8";"37";"0.6";"74";"-3.5";"---";"---";"---";"---";"0.0";"0.0"
"7607";"12.01.2017 14:20";"996.3";"17.7";"37";"0.7";"73";"-3.6";"---";"---";"---";"---";"0.0";"0.0"
"7608";"12.01.2017 14:30";"996.4";"17.6";"37";"0.7";"73";"-3.6";"---";"---";"---";"---";"0.0";"0.0"
"7609";"12.01.2017 14:40";"996.4";"18.2";"37";"0.7";"73";"-3.6";"---";"---";"---";"---";"0.0";"0.0"
"7610";"12.01.2017 14:50";"996.6";"18.7";"36";"0.6";"73";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7611";"12.01.2017 15:00";"996.6";"18.7";"36";"0.4";"73";"-3.9";"---";"---";"---";"---";"0.0";"0.0"
"7612";"12.01.2017 15:10";"996.5";"18.4";"37";"0.2";"73";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7613";"12.01.2017 15:20";"996.7";"18.1";"37";"-0.2";"74";"-4.3";"---";"---";"---";"---";"0.0";"0.0"
"7614";"12.01.2017 15:30";"996.7";"17.8";"37";"-0.6";"74";"-4.7";"---";"---";"---";"---";"0.0";"0.0"
"7615";"12.01.2017 15:40";"996.8";"17.4";"37";"-0.6";"74";"-4.7";"---";"---";"---";"---";"0.0";"0.0"
"7616";"12.01.2017 15:50";"996.8";"17.1";"37";"-0.5";"74";"-4.6";"---";"---";"---";"---";"0.0";"0.0"
"7617";"12.01.2017 16:00";"996.8";"16.8";"39";"-0.7";"74";"-4.8";"---";"---";"---";"---";"0.0";"0.0"
"7618";"12.01.2017 16:10";"996.9";"17.2";"38";"-0.9";"74";"-5.0";"---";"---";"---";"---";"0.0";"0.0"
"7619";"12.01.2017 16:20";"996.9";"17.6";"38";"-1.2";"75";"-5.1";"---";"---";"---";"---";"0.0";"0.0"
"7620";"12.01.2017 16:30";"996.9";"17.5";"38";"-1.4";"75";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7621";"12.01.2017 16:40";"996.9";"17.2";"38";"-1.6";"75";"-5.5";"---";"---";"---";"---";"0.0";"0.0"
"7622";"12.01.2017 16:50";"996.9";"17.0";"39";"-1.8";"75";"-5.6";"---";"---";"---";"---";"0.0";"0.0"
"7623";"12.01.2017 17:00";"996.8";"16.7";"39";"-1.8";"75";"-5.6";"---";"---";"---";"---";"0.0";"0.0"
"7624";"12.01.2017 17:10";"996.9";"16.3";"39";"-1.7";"75";"-5.5";"---";"---";"---";"---";"0.0";"0.0"
"7625";"12.01.2017 17:20";"996.9";"16.1";"40";"-1.8";"75";"-5.6";"---";"---";"---";"---";"0.0";"0.0"
"7626";"12.01.2017 17:30";"997.0";"15.9";"40";"-1.9";"75";"-5.7";"---";"---";"---";"---";"0.0";"0.0"
"7627";"12.01.2017 17:40";"997.0";"16.4";"40";"-2.0";"76";"-5.7";"---";"---";"---";"---";"0.0";"0.0"
"7628";"12.01.2017 17:50";"996.9";"16.9";"39";"-2.0";"75";"-5.8";"---";"---";"---";"---";"0.0";"0.0"
"7629";"12.01.2017 18:00";"996.8";"17.0";"39";"-2.0";"76";"-5.7";"---";"---";"---";"---";"0.0";"0.0"
"7630";"12.01.2017 18:10";"996.9";"16.9";"39";"-1.9";"76";"-5.6";"---";"---";"---";"---";"0.0";"0.0"
"7631";"12.01.2017 18:20";"996.9";"16.7";"39";"-1.8";"76";"-5.5";"---";"---";"---";"---";"0.0";"0.0"
"7632";"12.01.2017 18:30";"996.9";"16.5";"40";"-1.9";"76";"-5.6";"---";"---";"---";"---";"0.0";"0.0"
"7633";"12.01.2017 18:40";"996.7";"16.2";"40";"-1.8";"76";"-5.5";"---";"---";"---";"---";"0.0";"0.0"
"7634";"12.01.2017 18:50";"996.5";"16.0";"40";"-1.5";"75";"-5.4";"---";"---";"---";"---";"0.0";"0.0"
"7635";"12.01.2017 19:00";"996.4";"15.9";"41";"-1.2";"76";"-4.9";"---";"---";"---";"---";"0.0";"0.0"
"7636";"12.01.2017 19:10";"996.1";"16.5";"40";"-1.2";"75";"-5.1";"---";"---";"---";"---";"0.0";"0.0"
"7637";"12.01.2017 19:20";"996.1";"17.0";"39";"-1.2";"76";"-4.9";"---";"---";"---";"---";"0.0";"0.0"
"7638";"12.01.2017 19:30";"995.9";"17.0";"39";"-1.2";"76";"-4.9";"---";"---";"---";"---";"0.0";"0.0"
"7639";"12.01.2017 19:40";"995.8";"16.8";"39";"-1.1";"76";"-4.8";"---";"---";"---";"---";"0.0";"0.0"
"7640";"12.01.2017 19:50";"995.9";"16.6";"40";"-1.0";"76";"-4.7";"---";"---";"---";"---";"0.0";"0.0"
"7641";"12.01.2017 20:00";"995.8";"16.3";"40";"-1.1";"76";"-4.8";"---";"---";"---";"---";"0.0";"0.0"
"7642";"12.01.2017 20:10";"995.6";"16.0";"40";"-1.3";"76";"-5.0";"---";"---";"---";"---";"0.0";"0.0"
"7643";"12.01.2017 20:20";"995.6";"15.8";"41";"-1.6";"76";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7644";"12.01.2017 20:30";"995.6";"15.8";"41";"-1.6";"76";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7645";"12.01.2017 20:40";"995.3";"16.4";"40";"-1.6";"76";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7646";"12.01.2017 20:50";"995.5";"16.8";"40";"-1.7";"76";"-5.4";"---";"---";"---";"---";"0.0";"0.0"
"7647";"12.01.2017 21:00";"995.4";"16.8";"40";"-1.6";"76";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7648";"12.01.2017 21:10";"995.3";"16.7";"40";"-1.6";"76";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7649";"12.01.2017 21:20";"995.2";"16.5";"40";"-1.7";"76";"-5.4";"---";"---";"---";"---";"0.0";"0.0"
"7650";"12.01.2017 21:30";"995.2";"16.2";"40";"-1.7";"75";"-5.5";"---";"---";"---";"---";"0.0";"0.0"
"7651";"12.01.2017 21:40";"995.1";"16.0";"41";"-1.7";"76";"-5.4";"---";"---";"---";"---";"0.0";"0.0"
"7652";"12.01.2017 21:50";"994.8";"15.7";"41";"-1.6";"75";"-5.5";"---";"---";"---";"---";"0.0";"0.0"
"7653";"12.01.2017 22:00";"994.7";"15.6";"41";"-1.6";"76";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7654";"12.01.2017 22:10";"994.5";"15.5";"41";"-1.4";"76";"-5.1";"---";"---";"---";"---";"0.0";"0.0"
"7655";"12.01.2017 22:20";"994.4";"15.4";"42";"-1.5";"75";"-5.4";"---";"---";"---";"---";"0.0";"0.0"
"7656";"12.01.2017 22:30";"994.1";"15.4";"42";"-1.5";"75";"-5.4";"---";"---";"---";"---";"0.0";"0.0"
"7657";"12.01.2017 22:40";"994.0";"15.3";"42";"-1.5";"75";"-5.4";"---";"---";"---";"---";"0.0";"0.0"
"7658";"12.01.2017 22:50";"993.7";"15.2";"42";"-1.3";"76";"-5.0";"---";"---";"---";"---";"0.0";"0.0"
"7659";"12.01.2017 23:00";"993.5";"15.1";"42";"-1.2";"76";"-4.9";"---";"---";"---";"---";"0.0";"0.0"
"7660";"12.01.2017 23:10";"993.5";"15.1";"42";"-1.1";"76";"-4.8";"---";"---";"---";"---";"0.0";"0.0"
"7661";"12.01.2017 23:20";"993.4";"15.0";"42";"-1.0";"76";"-4.7";"---";"---";"---";"---";"0.0";"0.0"
"7662";"12.01.2017 23:30";"993.2";"14.9";"42";"-1.0";"76";"-4.7";"---";"---";"---";"---";"0.0";"0.0"
"7663";"12.01.2017 23:40";"993.2";"14.9";"42";"-1.0";"76";"-4.7";"---";"---";"---";"---";"0.0";"0.0"
"7664";"12.01.2017 23:50";"993.1";"14.8";"42";"-1.1";"76";"-4.8";"---";"---";"---";"---";"0.0";"0.0"
"7665";"13.01.2017 00:00";"992.8";"14.8";"43";"-1.1";"76";"-4.8";"---";"---";"---";"---";"0.0";"0.0"
"7666";"13.01.2017 00:10";"992.5";"14.8";"43";"-1.3";"76";"-5.0";"---";"---";"---";"---";"0.0";"0.0"
"7667";"13.01.2017 00:20";"992.2";"14.7";"43";"-1.3";"76";"-5.0";"---";"---";"---";"---";"0.0";"0.0"
"7668";"13.01.2017 00:30";"991.8";"14.7";"43";"-1.4";"75";"-5.3";"---";"---";"---";"---";"0.0";"0.0"
"7669";"13.01.2017 00:40";"991.5";"14.6";"43";"-1.3";"76";"-5.0";"---";"---";"---";"---";"0.0";"0.0"
"7670";"13.01.2017 00:50";"991.4";"14.6";"43";"-1.2";"76";"-4.9";"---";"---";"---";"---";"0.0";"0.0"
"7671";"13.01.2017 01:00";"991.3";"14.6";"43";"-1.2";"76";"-4.9";"---";"---";"---";"---";"0.0";"0.0"
"7672";"13.01.2017 01:10";"991.2";"14.5";"43";"-0.9";"76";"-4.6";"---";"---";"---";"---";"0.0";"0.0"
"7673";"13.01.2017 01:20";"991.1";"14.5";"43";"-0.6";"76";"-4.3";"---";"---";"---";"---";"0.0";"0.0"
"7674";"13.01.2017 01:30";"990.8";"14.4";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7675";"13.01.2017 01:40";"990.6";"14.4";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7676";"13.01.2017 01:50";"990.4";"14.4";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7677";"13.01.2017 02:00";"990.3";"14.3";"43";"-0.3";"76";"-4.0";"---";"---";"---";"---";"0.0";"0.0"
"7678";"13.01.2017 02:10";"989.9";"14.3";"43";"-0.2";"76";"-3.9";"---";"---";"---";"---";"0.0";"0.0"
"7679";"13.01.2017 02:20";"989.8";"14.3";"43";"-0.2";"76";"-3.9";"---";"---";"---";"---";"0.0";"0.0"
"7680";"13.01.2017 02:30";"989.7";"14.2";"43";"-0.3";"76";"-4.0";"---";"---";"---";"---";"0.0";"0.0"
"7681";"13.01.2017 02:40";"989.4";"14.2";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7682";"13.01.2017 02:50";"989.2";"14.2";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7683";"13.01.2017 03:00";"988.9";"14.1";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7684";"13.01.2017 03:10";"988.6";"14.1";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7685";"13.01.2017 03:20";"988.5";"14.1";"43";"-0.5";"76";"-4.2";"---";"---";"---";"---";"0.0";"0.0"
"7686";"13.01.2017 03:30";"988.2";"14.0";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7687";"13.01.2017 03:40";"988.1";"14.0";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7688";"13.01.2017 03:50";"987.9";"14.0";"43";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7689";"13.01.2017 04:00";"987.6";"14.0";"44";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7690";"13.01.2017 04:10";"987.4";"13.9";"44";"-0.4";"76";"-4.1";"---";"---";"---";"---";"0.0";"0.0"
"7691";"13.01.2017 04:20";"987.2";"13.9";"44";"-0.2";"76";"-3.9";"---";"---";"---";"---";"0.0";"0.0"
"7692";"13.01.2017 04:30";"986.9";"13.9";"44";"-0.1";"76";"-3.8";"---";"---";"---";"---";"0.0";"0.0"
"7693";"13.01.2017 04:40";"986.6";"13.8";"44";"-0.1";"76";"-3.8";"---";"---";"---";"---";"0.0";"0.0"
"7694";"13.01.2017 04:50";"986.4";"13.8";"44";"0.0";"76";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7695";"13.01.2017 05:00";"986.3";"13.8";"44";"0.0";"76";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7696";"13.01.2017 05:10";"986.1";"13.7";"44";"0.0";"76";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7697";"13.01.2017 05:20";"986.0";"13.7";"44";"0.0";"76";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7698";"13.01.2017 05:30";"985.8";"13.7";"44";"0.0";"76";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7699";"13.01.2017 05:40";"985.4";"13.6";"44";"0.0";"76";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7700";"13.01.2017 05:50";"985.2";"13.6";"44";"0.0";"76";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7701";"13.01.2017 06:00";"984.9";"13.6";"44";"0.0";"76";"-3.7";"---";"---";"---";"---";"0.0";"0.0"
"7702";"13.01.2017 06:10";"984.9";"13.6";"44";"0.1";"76";"-3.6";"---";"---";"---";"---";"0.0";"0.0"
"7703";"13.01.2017 06:20";"984.8";"13.6";"44";"0.1";"76";"-3.6";"---";"---";"---";"---";"0.0";"0.0"
"7704";"13.01.2017 06:30";"984.7";"13.5";"44";"0.1";"76";"-3.6";"---";"---";"---";"---";"0.0";"0.0"
"7705";"13.01.2017 06:40";"984.6";"13.5";"44";"0.1";"76";"-3.6";"---";"---";"---";"---";"0.0";"0.0"
"7706";"13.01.2017 06:50";"984.6";"13.5";"44";"0.1";"76";"-3.6";"---";"---";"---";"---";"0.0";"0.0"
"7707";"13.01.2017 07:00";"984.5";"13.5";"44";"0.1";"77";"-3.5";"---";"---";"---";"---";"0.0";"0.0"
"7708";"13.01.2017 07:10";"984.3";"14.1";"44";"0.2";"76";"-3.5";"---";"---";"---";"---";"0.0";"0.0"
"7709";"13.01.2017 07:20";"984.1";"14.9";"43";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
"7710";"13.01.2017 07:30";"984.1";"15.2";"42";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
"7711";"13.01.2017 07:40";"984.1";"15.4";"42";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
"7712";"13.01.2017 07:50";"984.1";"15.3";"42";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
"7713";"13.01.2017 08:00";"984.0";"15.2";"42";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
"7714";"13.01.2017 08:10";"984.1";"15.0";"43";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
"7715";"13.01.2017 08:20";"984.1";"14.9";"43";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
"7716";"13.01.2017 08:30";"984.1";"15.4";"42";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
"7717";"13.01.2017 08:40";"984.3";"15.9";"42";"0.1";"77";"-3.5";"---";"---";"---";"---";"0.0";"0.0"
"7718";"13.01.2017 08:50";"984.3";"16.0";"42";"0.1";"77";"-3.5";"---";"---";"---";"---";"0.0";"0.0"
"7719";"13.01.2017 09:00";"984.5";"16.2";"41";"0.1";"77";"-3.5";"---";"---";"---";"---";"0.0";"0.0"
"7720";"13.01.2017 09:10";"984.5";"16.4";"41";"0.2";"77";"-3.4";"---";"---";"---";"---";"0.0";"0.0"
